"chr" "pos" "mu1" "mu2" "diff" "diff.se" "stat" "phi1" "phi2" "pval" "fdr" "postprob.overThreshold"
"chr19" 24257566 0.00259032845963392 0.335144924884928 -0.332554596425294 0.0299364446804959 -11.1086870860774 0.0499161517281328 0.0497870683678639 1.13820659862217e-28 3.37250364065332e-24 0.999999999999996
"chr19" 24257590 0.00272585732322497 0.298232058542378 -0.295506201219153 0.0264237806331122 -11.1833429637562 0.0498470221619789 0.0497870683678639 4.92010140776496e-29 1.73092812044733e-24 0.999999999999931
"chr19" 24257589 0.00272585732322497 0.298232058542378 -0.295506201219153 0.0264982996915069 -11.151892938771 0.0498961850490251 0.0497870683678639 7.00990210735223e-29 2.37805921918991e-24 0.99999999999992
"chr19" 24257597 0.00274094886165229 0.292393679582882 -0.28965273072123 0.026050950933042 -11.1187008668404 0.0498710892117871 0.0497870683678639 1.01742687756403e-28 3.33252911193281e-24 0.999999999999833
"chr19" 24257598 0.00275589848148749 0.288991970462244 -0.286236071980756 0.0257556097440879 -11.1135428291097 0.0498264964419128 0.0497870683678639 1.07796061625589e-28 3.37250364065332e-24 0.99999999999976
"chr19" 24257616 0.0028199296697766 0.265571586828069 -0.262751657158292 0.0240979216192624 -10.9034987045631 0.0498493073708312 0.0497870683678639 1.10908903429083e-27 2.92639303303382e-23 0.999999999992797
"chr19" 24257617 0.00283406474347104 0.262767268973784 -0.259933204230313 0.0238803196934938 -10.8848293308708 0.0498277341967242 0.0497870683678639 1.36153423757622e-27 3.40340563576025e-23 0.999999999989383
"chr19" 24257626 0.00283000731294842 0.256640254991741 -0.253810247678793 0.0234742984663771 -10.8122612499936 0.0498496187997569 0.0497870683678639 3.01153642227387e-27 6.97706882143781e-23 0.999999999971668
"chr19" 24257627 0.00283000731294842 0.256640254991741 -0.253810247678793 0.0234742984663771 -10.8122612499936 0.0498496187997569 0.0497870683678639 3.01153642227387e-27 6.97706882143781e-23 0.999999999971668
"chr19" 21630777 0.002742841325966 0.312480145264896 -0.30973730393893 0.0335639531055039 -9.2282724554319 0.049795151743318 0.0497870683678639 2.750317020308e-20 1.57377778990974e-16 0.999999999793304
